zone,state,city,name,type,establishment_year,time_needed_to_visit_in_hrs,rating,entrance_fee,airport_with_50km_radius,weekly_off,significance,DSLR_allowed,number_of_google_review_in_lakhs,best_time_to_visit,latitude,longitude
Northern,Uttarakhand,Joshimath,Valley of Flowers,National Park,1982,5,4.7,150,No,None,Nature,Yes,0.035,Morning,30.7274861,79.60733909999999
Central,Uttar Pradesh,Agra,Taj Mahal,Mausoleum,1632,2,4.6,50,Yes,Friday,Historical,Yes,2.25,Morning,27.1751448,78.0421422
Central,Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Temple,None,1,4.7,0,Yes,None,Religious,No,0.9,All,25.3108532,83.0106783
Central,Uttar Pradesh,Lucknow,Bara Imambara,Monument,1784,1.5,4.4,50,Yes,Monday,Historical,No,0.45,All,26.8685168,80.9127127
Central,Uttar Pradesh,Mathura,Krishna Janmabhoomi,Temple,None,1,4.7,0,Yes,None,Religious,No,0.13,All,27.5048884,77.66978
Central,Uttar Pradesh,Ayodhya,Ram Janmabhoomi,Religious Site,None,1,4.8,0,Yes,None,Religious,No,0.025,All,26.795649669627633,82.1944202663561
Central,Uttar Pradesh,Vrindavan,Banke Bihari Temple,Temple,1864,1,4.8,0,Yes,None,Religious,No,0.37,All,27.580148,77.7010816
Central,Uttar Pradesh,Allahabad,Triveni Sangam,Confluence,None,1,4.5,0,Yes,None,Religious,Yes,0.09,Morning,25.531657102596885,81.8530043525579
Central,Uttar Pradesh,Jhansi,Jhansi Fort,Fort,1613,1.5,4.4,15,Yes,None,Historical,Yes,0.25,All,25.4575915,78.5764611
Central,Uttar Pradesh,Sarnath,Dhamek Stupa,Monument,-500,1,4.6,5,Yes,None,Historical,Yes,0.065,All,25.3809019,83.024517
Central,Uttar Pradesh,Fatehpur Sikri,Buland Darwaza,Monument,1571,2,4.4,40,Yes,None,Historical,Yes,0.07,Afternoon,27.0940976,77.6630237
Central,Uttar Pradesh,Noida,Okhla Bird Sanctuary,Bird Sanctuary,1990,1.5,4.3,30,Yes,None,Wildlife,Yes,0.035,All,28.5593695,77.30988599999999
Central,Uttar Pradesh,Aligarh,Aligarh Fort,Fort,1524,1,4.1,20,Yes,None,Historical,Yes,0.0165,Afternoon,27.930607,78.0632653
Central,Uttar Pradesh,Meerut,Augarnath Temple,Temple,None,1,4.8,0,Yes,None,Religious,No,0.045,All,28.9968175,77.6911618
Central,Uttar Pradesh,Kanpur,Allen Forest Zoo,Zoo,1971,2,4.2,150,Yes,Monday,Wildlife,Yes,0.21,All,26.5028694,80.3031232
Northern,Jammu and Kashmir,Srinagar,Dal Lake,Lake,None,2,4.6,0,Yes,None,Nature,Yes,0.15,Morning,34.1105857,74.86825689999999
Northern,Ladakh,Leh,Pangong Tso,Lake,None,2,4.9,20,Yes,None,Nature,Yes,0.15,Morning,33.7595131,78.66744039999999
Northern,Jammu and Kashmir,Pahalgam,Betaab Valley,Valley,None,2,4.6,100,No,None,Nature,Yes,0.11,All,34.0540604,75.3638888
Northern,Jammu and Kashmir,Jammu,Vaishno Devi,Temple,None,5,4.7,0,Yes,None,Religious,No,0.55,All,33.0308295,74.9490416
Northern,Jammu and Kashmir,Udhampur,Patnitop Height,Hill,None,2,4.1,0,No,None,Recreational,Yes,0.01,All,33.0847048,75.3353875
Northern,Jammu and Kashmir,Anantnag,Amarnath Cave,Temple,None,6,4.5,0,No,None,Religious,Yes,0.11,All,34.2156918,75.5041201
Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1430,1.5,4.7,20,Yes,None,Religious,No,0.05,All,34.0559137,77.6677625
Northern,Ladakh,Nubra Valley,Nubra Valley,Valley,None,2,4.5,0,No,None,Nature,Yes,0.1,All,34.6863146,77.567288
Northern,Ladakh,Kargil,Kargil War Memorial,War Memorial,24,1,4.8,0,No,None,Historical,Yes,0.011,All,34.4340036,75.80768139999999
Northern,Ladakh,Diskit,Diskit Monastery,Monastery,1351,1,4.7,20,No,None,Religious,No,0.015,Morning,34.5409579,77.5606881
Northern,Jammu and Kashmir,Kishtwar,Kishtwar National Park,National Park,1981,3,4.3,100,No,None,Wildlife,Yes,0.01,All,33.6187109,75.9932587
Northern,Ladakh,Hemis,Hemis National Park,National Park,1981,4,4.4,20,No,None,Wildlife,Yes,0.02,All,33.7187211,77.38822239999999
Northern,Ladakh,Dras,Dras War Memorial,War Memorial,None,1,4.8,0,No,None,Historical,Yes,0.012,All,34.4340036,75.80768139999999
Northern,Ladakh,Leh,Magnetic Hill,Gravity Hill,None,0.5,3.7,0,Yes,None,Nature,Yes,0.1,All,34.17098506402562,77.35261202686472
Northern,Ladakh,Leh,Khardung La Pass,Hill,None,1,4.5,0,Yes,None,Adventure,Yes,0.05,Afternoon,34.2787271,77.6046756
Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1430,1.5,4.7,30,Yes,None,Religious,No,0.05,All,34.0559137,77.6677625
Central,Uttar Pradesh,Vrindavan,Prem Mandir,Temple,2012,1.5,4.8,0,Yes,None,Religious,Yes,0.49,Evening,27.5718524,77.6720096
Central,Uttar Pradesh,Porbandar,Kirti Mandir,Memorial,1950,1,4.8,0,Yes,None,Historical,Yes,0.03,Morning,22.3075839,73.190977
Central,Uttar Pradesh,Mathura,Nand Gaon,Village,None,1,4.1,0,Yes,None,Cultural,Yes,0.01,Morning,27.72726,77.3812494
Central,Uttar Pradesh,Mathura,Barsana Mandir,Temple,None,1,4.8,0,Yes,None,Religious,Yes,0.1,Morning,27.6463577,77.37680990000001
Eastern,West Bengal,Darjeeling,Tiger Hill,Sunrise Point,None,1,4.5,0,No,None,Nature,Yes,0.025,All,26.9966667,88.29444439999999
Eastern,West Bengal,Siliguri,Jaldapara National Park,Wildlife Sanctuary,1941,3,4.4,250,Yes,None,Wildlife,Yes,0.035,All,26.6905136,89.2805351
Eastern,West Bengal,Sundarbans,Sundarbans National Park,National Park,1984,4,4.4,60,No,None,Wildlife,Yes,0.065,All,21.8842354,88.88537649999999
Eastern,West Bengal,Digha,Digha Beach,Beach,None,1.5,4.5,0,No,None,Recreational,Yes,0.09,Morning,21.627425,87.5368038
Eastern,West Bengal,Murshidabad,Hazarduari Palace,Palace,1837,1.5,4.5,10,Yes,Friday,Historical,Yes,0.18,Morning,24.1863376,88.26879129999999
Eastern,West Bengal,Bolpur,Kankalitala Temple,Temple,None,0.5,4.7,0,Yes,None,Religious,No,0.045,All,23.7163812,87.7210779
Eastern,West Bengal,Hooghly,Hangseswari Temple,Temple,1814,0.5,4.6,0,Yes,None,Architectural,No,0.07,All,22.9642845,88.39979579999999
Eastern,West Bengal,Jalpaiguri,Gorumara National Park,National Park,1949,3,4.4,100,Yes,None,Wildlife,Yes,0.07,All,26.7563574,88.79747929999999
Eastern,West Bengal,Cooch Behar,Cooch Behar Palace,Palace,1887,1,4.5,20,Yes,Friday,Historical,Yes,0.09,All,26.3270303,89.4387284
Eastern,West Bengal,Purulia,Ayodhya Hills,Hill,None,2.5,4.5,0,No,None,Nature,Yes,0.15,All,23.191215301254125,86.05909593764558
Eastern,Odisha,Puri,Jagannath Temple,Temple,1150,2,4.7,0,Yes,None,Religious,No,1,All,19.8049379,85.81793859999999
Eastern,Odisha,Konark,Sun Temple,Temple,1250,1.5,4.7,40,Yes,None,Historical,Yes,0.83,All,19.83547310977518,86.05153766134525
Eastern,Odisha,Bhubaneswar,Lingaraj Temple,Temple,1050,1,4.6,0,Yes,None,Religious,No,0.35,All,20.2384519,85.8337767
Eastern,Odisha,Rourkela,Khandadhar Waterfall,Waterfall,None,1.5,4.5,0,No,None,Nature,Yes,1.2,All,21.7752482,85.3218912
Eastern,Odisha,Cuttack,Barabati Fort,Fort,-987,1,4.5,0,Yes,None,Historical,Yes,0.13,All,20.4845311,85.86517669999999
Eastern,Odisha,Sambalpur,Hirakud Dam,Dam,1957,1,4.5,0,No,None,Engineering Marvel,Yes,0.01,All,21.5305898,83.8704949
Eastern,Odisha,Chilika,Chilika Lake,Lake,None,2,3.9,0,Yes,None,Nature,Yes,0.1,Morning,19.8449627,85.47880649999999
Eastern,Odisha,Berhampur,Tara Tarini Temple,Temple,None,1,4.6,0,Yes,None,Religious,No,0.01,All,19.4888509,84.89908989999999
Eastern,Odisha,Keonjhar,Badaghagara Waterfall,Waterfall,None,1,4.3,0,No,None,Nature,Yes,0.018,Morning,21.6087088,85.555751
Eastern,Odisha,Balasore,Chandipur Beach,Beach,None,1.5,4.2,0,Yes,None,Recreational,Yes,0.014,Morning,21.4518786,87.0406081
Eastern,Odisha,Kendujhar,Sanaghagara Waterfall,Waterfall,None,1,4.4,0,No,None,Nature,Yes,0.055,All,21.632772,85.5569556
Southern,Tamil Nadu,Chennai,Marina Beach,Beach,None,1.5,3.9,0,Yes,None,Recreational,Yes,0.1,Morning,13.0499526,80.2824026
Southern,Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,550,2,4.7,0,Yes,None,Religious,No,0.65,All,9.9195045,78.1193418
Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,1150,1.5,4.6,0,No,None,Religious,No,0.01,All,9.288113599999999,79.3173919
Southern,Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Memorial,1970,1,4.6,20,Yes,None,Historical,No,0.47,Morning,8.0778853,77.5558698
Southern,Tamil Nadu,Ooty,Ooty Lake,Lake,1824,1,4.1,10,Yes,None,Recreational,Yes,0.61,Morning,11.406831,76.688552
Southern,Tamil Nadu,Coimbatore,Marudamalai Temple,Temple,1150,1,4.7,0,Yes,None,Religious,No,0.3,All,11.046546929019177,76.85170679471314
Southern,Tamil Nadu,Kodaikanal,Kodaikanal Lake,Lake,1863,2,3.9,0,No,None,Recreational,Yes,0.1,Morning,10.2343586,77.4863295
Southern,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,110,1.5,4.8,0,Yes,None,Religious,No,0.35,All,10.7826954,79.1314587
Southern,Tamil Nadu,Mahabalipuram,Shore Temple,Temple,650,1,4.6,40,Yes,None,Historical,No,0.09,All,12.6164515,80.19933209999999
Southern,Tamil Nadu,Yercaud,Yercaud Lake,Lake,None,1,4.2,0,No,None,Recreational,Yes,0.019,Morning,11.7841423,78.21022959999999
Southern,Tamil Nadu,Tirunelveli,Nellaiappar Temple,Temple,650,1,4.6,0,Yes,None,Religious,No,0.16,All,8.7283634,77.6880216
Southern,Tamil Nadu,Chidambaram,Nataraja Temple,Temple,950,1,4.7,0,Yes,None,Religious,No,0.28,All,11.3994888,79.69465389999999
Southern,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,None,1,4.7,0,Yes,None,Religious,No,0.44,All,16.5154055,80.605864
Southern,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,None,1.5,4.5,0,Yes,None,Recreational,Yes,0.39,Morning,17.7825201,83.38511539999999
Southern,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,1350,1,4.7,0,No,None,Religious,No,0.49,All,10.625767572750323,77.7274683641584
Southern,Andhra Pradesh,Rajahmundry,Papikondalu,Hill,None,2,4.3,0,Yes,None,Nature,Yes,0.032,All,17.270994659012246,81.66105980000512
Southern,Andhra Pradesh,Anantapur,Lepakshi,Site,1550,1.5,4.6,0,No,None,Historical,Yes,0.075,All,13.8039436,77.60771969999999
Southern,Andhra Pradesh,Kurnool,Belum Caves,Cave,None,1.5,4.4,65,Yes,None,Natural Wonder,Yes,0.11,Afternoon,15.1025794,78.11150719999999
Southern,Andhra Pradesh,Amravati,Amaravathi Temple,Temple,None,1,4.7,0,Yes,None,Religious,No,0.041,All,16.5062009,80.6480619
Southern,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,None,1,4.4,10,Yes,None,Wildlife,Yes,0.7,All,16.3059236,80.5133238
Southern,Andhra Pradesh,Kadapa,Gandikota Fort,Fort,1150,1.5,4.5,0,No,None,Historical,Yes,0.015,Morning,14.8140172,78.2868652
Southern,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,1950,1,4.7,0,Yes,None,Religious,Yes,0.12,All,14.6885557,77.5749495
Southern,Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,198,1,4.7,0,Yes,None,Religious,No,0.59,All,17.7663525,83.2505322
Southern,Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,None,2,4.5,0,Yes,None,Recreational,Yes,0.019,All,17.7492105,83.3418016
Southern,Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,22,1,4.6,40,Yes,None,Historical,Yes,0.49,All,17.717222743293036,83.3300804660329
Southern,Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,None,2,4.5,60,No,None,Natural Wonder,Yes,0.31,Afternoon,18.2806929,83.0396992
Southern,Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,None,1,4.6,0,Yes,None,Historical,Yes,0.059,All,17.718637603682545,83.332237594869
Southern,Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,1977,2,4.1,20,Yes,Monday,Wildlife,Yes,0.25,Afternoon,17.765657,83.3488338
Southern,Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Aquarium,None,1,3.8,20,Yes,None,Recreational,Yes,0.03,All,17.71269702255696,83.32010189486886
Southern,Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,1991,1,4.3,10,Yes,None,Cultural,Yes,0.065,All,17.7205813,83.33452849999999
Eastern,Sikkim,Gangtok,Nathula Pass,Hill,None,2,4.3,20,Yes,None,Historical,Yes,0.15,Afternoon,27.3865684,88.83087309999999
Eastern,Sikkim,Pelling,Pemayangtse Monastery,Monastery,1705,1,4.6,20,No,None,Religious,No,0.015,Morning,27.3052201,88.2515852
Eastern,Sikkim,Namchi,Char Dham,Religious Complex,211,2,4.7,50,Yes,None,Religious,No,0.12,All,27.12398966180408,88.31482532647117
Eastern,Sikkim,Gangtok,Rumtek Monastery,Monastery,2010,1,4.6,10,Yes,None,Religious,No,0.035,Morning,27.2886861,88.5614622
Eastern,Sikkim,Ravangla,Buddha Park,Park,213,1,4.8,50,Yes,None,Cultural,Yes,0.1,All,27.31435274381499,88.3632704952144
Eastern,Sikkim,Gangtok,Baba Harbhajan Singh Temple,Temple,1967,1,4.7,0,Yes,None,Religious,No,0.075,All,27.3658573,88.8379192
Eastern,Sikkim,Gangtok,Tsomgo Lake,Lake,None,2,4.5,0,Yes,None,Nature,Yes,0.15,Morning,27.3741667,88.76194439999999
North Eastern,Assam,Guwahati,Kamakhya Temple,Temple,None,2,4.6,0,Yes,None,Religious,No,0.21,All,26.1664108,91.7055031
North Eastern,Assam,Kaziranga,Kaziranga National Park,National Park,1905,3,4.5,650,No,None,Wildlife,No,0.068,Morning,26.6445044,93.3524858
North Eastern,Assam,Guwahati,Umananda Island,Island,None,1,4.1,0,Yes,None,Nature,Yes,0.01,Morning,26.1964922,91.7449079
North Eastern,Assam,Sivasagar,Sivasagar Sivadol,Temple,1734,1,4.7,0,No,None,Historical,Yes,0.065,All,26.9888752,94.63310299999999
North Eastern,Assam,Majuli,Majuli Island,River Island,None,2,4.7,0,No,None,Cultural,Yes,0.01,Morning,27.0016172,94.2242981
North Eastern,Assam,Manas,Manas National Park,National Park,1990,3,4.6,500,No,None,Wildlife,Yes,0.19,Morning,26.8101743,91.2394832
North Eastern,Assam,Hajo,Hayagriva Madhava Temple,Temple,None,1,4.5,0,No,None,Religious,Yes,0.9,All,26.2427769,91.52658430000001
North Eastern,Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,1987,2,4.4,500,Yes,None,Wildlife,Yes,0.037,All,26.2307847,92.0550609
North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,1680,2,4.7,0,No,None,Religious,No,0.032,Morning,27.5867261,91.8577194
North Eastern,Tripura,Agartala,Ujjayanta Palace,Palace,1901,1.5,4.5,10,Yes,Monday,Historical,Yes,0.035,All,23.8373503,91.2827128
North Eastern,Tripura,Dumboor,Dumboor Lake,Lake,None,1,4.5,0,No,None,Nature,Yes,0.01,Morning,23.4756928,91.84402589999999
North Eastern,Tripura,Unakoti,Unakoti Rock Carvings,Rock Carvings,700,1.5,4.5,20,No,None,Historical,Yes,0.025,Morning,24.3169807,92.0668989
Central,Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,None,1.5,4.6,0,No,None,Nature,Yes,0.19,Morning,19.2071733,81.7000604
North Eastern,Nagaland,Dzükou Valley,Dzükou Valley,Valley,None,3,4.7,0,No,None,Trekking,Yes,0.01,Afternoon,25.5553627,94.0652787
Southern,Puducherry,Puducherry,Promenade Beach,Beach,None,1,4.5,0,Yes,None,Recreational,Yes,0.09,Morning,11.92930957028297,79.83545948303203
Southern,Puducherry,Auroville,Auroville,Township,1968,2,4.1,0,Yes,None,Cultural,Yes,0.035,All,12.0052483,79.8068922
Southern,Puducherry,Puducherry,Paradise Beach,Beach,None,1,4.5,200,Yes,None,Recreational,Yes,0.015,Morning,11.88194964575267,79.8236318437895
Southern,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,1906,1.5,4.7,30,Yes,Monday,Historical,Yes,0.12,Afternoon,11.6747447,92.7478601
Southern,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,None,1,4.8,0,No,None,Nature,Yes,0.09,Morning,11.9844552,92.95084539999999
Southern,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,None,1,4.5,0,No,None,Nature,Yes,0.04,Morning,11.8361324,93.03419699999999
Southern,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,None,1.5,4.4,250,No,None,Nature,Yes,0.015,Morning,12.095902888144744,92.74546523706083
Western,Daman and Diu,Diu,Naida Caves,Cave,None,1,4.5,0,No,None,Nature,Yes,0.6,Afternoon,20.7102563,70.980716
Western,Daman and Diu,Diu,Diu Fort,Fort,1535,1.5,4.6,0,No,None,Historical,Yes,1.2,Afternoon,20.7146981,70.9961398
Eastern,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,None,1,4.7,0,Yes,None,Religious,Yes,1.8,All,24.4927645,86.7005212
Eastern,Jharkhand,Ranchi,Pahari Mandir,Temple,None,1,4.6,0,Yes,None,Religious,Yes,0.13,All,23.37541867632964,85.31071778001984
Eastern,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,-260,1.5,4.7,0,Yes,None,Religious,Yes,0.2,All,24.6959222,84.99141929999999
Eastern,Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,None,2.5,4.3,30,Yes,None,Wildlife,Yes,0.5,All,25.5994498,85.09900499999999
Eastern,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,None,1,4.7,0,Yes,None,Religious,Yes,0.25,All,25.5960503,85.2299561
Eastern,Bihar,Patna,Budhha Smriti Park,Park,None,1,4.4,10,Yes,None,Cultural,Yes,0.31,All,25.6067139,85.13615020000002
Northern,Haryana,Gurugram,Kingdom of Dreams,Entertainment,2010,3,4.4,1100,Yes,Monday,Entertainment,Yes,0.3,Afternoon,28.4678664,77.0688866
Northern,Haryana,Gurugram,Ambience Mall,Mall,None,2,4.6,0,Yes,None,Shopping,Yes,1.2,Afternoon,28.505504,77.095956
Northern,Haryana,Gurugram,DLF CyberHub,Commercial Complex,None,2,4.7,0,Yes,None,Entertainment,Yes,0.71,Afternoon,28.4950422,77.0890948
Northern,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,None,1,4.8,0,Yes,None,Religious,Yes,1.05,All,28.6263764,77.2090704
Northern,Uttarakhand,Kedarnath,Kedarnath,Temple,None,1.5,4.8,0,No,None,Religious,No,2,All,30.7346267,79.0668943
Central,Uttar Pradesh,Noida,DLF Mall of India,Mall,2016,2,4.6,0,Yes,None,Shopping,Yes,1.5,All,28.5673409,77.3211303
Central,Uttar Pradesh,Greater Noida,The Grand Venice Mall,Mall,None,2,4.2,0,Yes,None,Shopping,Yes,0.45,All,28.4525346,77.5263114
Southern,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,2005,4,4.5,890,Yes,None,Entertainment,Yes,0.95,All,12.8349095,77.40094090000001
Eastern,Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,1960,3,4.4,50,Yes,Monday,Wildlife,Yes,0.81,Afternoon,20.39577,85.82596439999999
Southern,Karnataka,Bengaluru,Orion Mall,Mall,2012,2,4.5,0,Yes,None,Shopping,Yes,1.8,All,13.011023,77.55471519999999
Southern,Telangana,Hyderabad,Inorbit Mall Cyberabad,Mall,2004,2,4.5,0,Yes,None,Shopping,Yes,1.2,All,17.4338224,78.3869526
Northern,Delhi,New Delhi,Jama Masjid,Mosque,1656,1,4.5,0,Yes,None,Historical,Yes,0.49,All,28.6506792,77.23344209999999
Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,None,1.5,4.7,0,Yes,None,Religious,No,0.1,All,9.288113599999999,79.3173919
Central,Uttar Pradesh,Greater Noida,Buddh International Circuit,Race Track,2011,2,4.6,1500,Yes,Sunday,Sports,Yes,7.4,All,28.350494,77.53509180000002
Central,Uttar Pradesh,Lucknow,Phoenix Palassio,Mall,2020,2,4.6,0,Yes,None,Shopping,Yes,0.35,All,26.8087777,81.0127107
Southern,Kerala,Kochi,LuLu International Shopping Mall,Mall,2013,3,4.6,0,Yes,None,Shopping,Yes,1.9,All,10.0271483,76.3081856
Northern,Delhi,New Delhi,Rail Museum,Museum,1977,2,4.4,50,Yes,Monday,Cultural,Yes,0.24,Morning,28.5872,77.18560000000001
North Eastern,Meghalaya,Cherrapunji,Living Root Bridge,Natural Feature,None,2,4.6,0,No,None,Nature,Yes,0.06,Morning,25.251240570374343,91.67196909512842
Western,Gujarat,Gandhinagar,Akshardham,Temple,1992,3,4.6,0,Yes,Monday,Religious,No,0.18,All,28.6126735,77.2772619
Central,Uttar Pradesh,Agra,Agra Fort,Fort,1565,2,4.5,40,Yes,None,Historical,Yes,1.3,Afternoon,27.1795328,78.021112
Central,Madhya Pradesh,Bhopal,Madhya Pradesh Tribal Museum,Museum,2013,2,4.7,10,Yes,Monday,Cultural,Yes,0.15,All,23.2343968,77.3847649
Northern,Rajasthan,Jaipur,City Palace,Palace,1727,2,4.4,200,Yes,None,Historical,Yes,0.51,Morning,26.92579427663937,75.82366066636168
Northern,Rajasthan,Jaipur,Albert Hall Museum,Museum,1887,2,4.5,200,Yes,None,Historical,Yes,0.63,All,26.9115849,75.81941200000001
